Heure (HH:MM:SS);StockBatteries (kWh);EntreesElec (kWh/s);SortiesElec (kWh/s);EntreeBatterie (kWh/s)
03:00:00;9.39146;0;0;-6.757158469945069e-05
03:05:00;9.3808;0;0;-3.9028415300546014e-05
03:10:00;9.370140000000001;0;0;-2.6213114754103373e-05
03:15:00;9.35948;0;0;-3.262076502731877e-05
03:20:00;9.34882;0;0;-3.2620765027324695e-05
03:25:00;9.338159999999998;0;0;-3.2620765027324695e-05
03:30:00;9.3275;0;0;-5.359125683059555e-05
03:35:00;9.307578032786886;0;0;-3.553333333333815e-05
03:40:00;9.29552;0;0;-4.427103825136669e-05
03:45:00;9.28486;0;0;-6.232896174863001e-05
03:50:00;9.267559344262295;0;0;-3.553333333333223e-05
03:55:00;9.25288;0;0;-3.553333333333815e-05
04:00:00;9.242220000000001;0;0;-3.5533333333326314e-05
04:05:00;9.23156;0;0;-3.553333333333815e-05
04:10:00;9.2209;0;0;-3.553333333333223e-05
04:15:00;9.21024;0;0;-3.553333333333223e-05
04:20:00;9.19958;0;0;-3.553333333333815e-05
04:25:00;9.188920000000001;0;0;-3.5533333333326314e-05
04:30:00;9.178609508196722;0;0;-3.553333333333815e-05
04:35:00;9.17826;0;0;-3.553333333333223e-05
04:40:00;9.1676;0;0;-3.553333333333223e-05
04:45:00;9.15694;0;0;-3.553333333333815e-05
04:50:00;9.139464590163934;0;0;-3.553333333333223e-05
04:55:00;9.129678360655737;0;0;-3.611584699453256e-05
05:00:00;9.1143;0;0;-7.048415300546415e-05
05:05:00;9.099271147540984;0;0;-3.553333333333223e-05
05:10:00;9.082320000000001;0;0;-6.34939890710425e-05
05:15:00;9.07166;0;0;-4.310601092896012e-05
05:20:00;9.061;0;0;-3.553333333333223e-05
05:25:00;9.05034;0;0;-1.9222950819675808e-05
05:30:00;9.039679999999999;0;0;-1.6310382513662348e-05
05:35:00;9.039679999999999;0;0;1.3397814207654808e-05
05:40:00;9.05034;0;0;2.2135519125683345e-05
05:45:00;9.05837868852459;0;0;3.553333333333223e-05
05:50:00;9.068164918032787;0;0;4.0193442622952585e-05
05:55:00;9.082320000000001;0;0;6.640655737705003e-05
06:00:00;9.10364;0;0;0.00010543497267759013
06:05:00;9.140163606557376;0;0;0.00010368743169399508
06:10:00;9.17826;0;0;0.00013922076502731546
06:15:00;9.22369606557377;0;0;0.00020038469945355666
06:20:00;9.286782295081967;0;0;0.00022019016393442687
06:25:00;9.360528524590164;0;0;0.000245820765027324
06:30:00;9.434449508196721;0;0;0.00029824699453551894
06:35:00;9.529340983606557;0;0;0.000313974863387975
06:40:00;9.63349442622951;0;0;0.0003495081967213132
06:45:00;9.749006885245901;0;0;0.00042057486338797765
06:50:00;9.885839344262294;0;0;0.000491641530054648
06:55:00;10.016205901639346;0;0;0.00027611147540982967
07:00:00;10.06304;0;0;0.0001042699453551954
07:05:00;10.09502;0;0;0.0001065999999999967
07:10:00;10.127;0;0;0.00010660000000000262
07:15:00;10.14832;0;0;7.106666666666446e-05
07:20:00;10.169640000000001;0;0;4.7766120218580475e-05
07:25:00;10.169640000000001;0;0;-1.223278688524232e-05
07:30:00;10.19096;0;0;0.0001065999999999967
07:35:00;10.21228;0;0;3.553333333333223e-05
07:40:00;10.222940000000001;0;0;3.553333333333815e-05
07:45:00;10.233600000000001;0;0;4.427103825136077e-05
07:50:00;10.244259999999999;0;0;3.262076502731877e-05
07:55:00;10.25492;0;0;2.9708196721317154e-05
08:00:00;10.26558;0;0;3.553333333333223e-05
08:05:00;10.270473114754099;0;0;3.553333333333223e-05
08:10:00;10.27624;0;0;3.553333333333815e-05
08:15:00;10.286900000000001;0;0;0.0
08:20:00;10.297559999999999;0;0;3.5533333333326314e-05
08:25:00;10.299482295081967;0;0;3.553333333333815e-05
08:30:00;10.30822;0;0;0.0
08:35:00;10.30839475409836;0;0;3.553333333333223e-05
08:40:00;10.31888;0;0;0.0
08:45:00;10.31888;0;0;0.0
08:50:00;10.329540000000001;0;0;3.553333333333815e-05
